"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0.123959227728607,0.118594728738577,0.263393028048734,0.444293628000778,0.41639920904369,0.323226135631572,0.412895735342422,0.431545847696894,0.509458465220176,0.483693984240145,0.681880428661328,0.534392097725264,0.13325467810347,0.226170344923332,0.346244822883461,0.404435724041976,0.424280978170593,0.404955468238432,0.471576932844839,0.363773795270451
"2",0.626234892450647,0.43444872934201,0.459551230750128,0.323381613103205,0.418517657412957,0.363777427664577,0.243895113699328,0.198772054996779,0.519213074251205,0.374227794327367,0.11244494462645,0.459078750720817,0.365315502850943,0.554189221861878,0.40035785549212,0.549632678798675,0.436848494891595,0.571125755628174,0.483714352708212,0.661455902147172
"3",0.512674267903843,1.1345660415761,1.19431695812036,1.42895510817413,1.4325908246747,0.83732182477919,1.3435251901482,2.12594071274855,1.2942688431991,1.47815303105342,1.9798209683167,1.52287463497539,1.06520785585011,0.749463518498136,0.707870532168523,1.58291602229949,1.27502239432373,1.56900553235698,1.31031419262257,0.924363964457082
"4",1.19881413644662,1.29655656385189,1.45177593807117,1.00993486710775,1.11523299884437,1.42466776506033,1.14584322392986,1.04163654899592,1.47696572037251,1.65014663257291,1.13976484409207,1.23465788536984,1.07473706208529,1.19441247822534,1.14547499229575,1.51000306481676,1.170852797688,1.48305272387168,1.44106486658619,1.32746216343752
"5",1.54178469216096,2.2240876066505,2.18792821656311,2.84556246854085,2.33025058645574,1.52217554317199,1.95180689765687,2.90003991689694,2.34333234280055,2.42966467295067,2.88237225269137,2.23581709254134,1.82699398781286,1.41802172985657,1.40873597775137,2.38380104484894,2.17650450969376,2.38424218979311,2.11358718399159,1.51043779541902
"6",2.20659366601505,2.07387763426436,2.1522734325195,1.88234328569876,1.747533046614,2.37050019507673,2.19416335302673,2.29736532459459,2.40611075088184,2.44837633015979,2.14923271195861,2.08333184534939,2.0222532847973,2.18566181023013,1.62810876455555,2.55565490340224,1.9379538280025,2.34018678864774,2.04628395254252,2.32302772313001
"7",2.51411355827248,3.08200564455091,2.94622251936589,3.80472067831523,2.81750983678427,2.22739647826949,2.58591261599874,3.67243625505087,3.00997684960971,2.98572363306865,3.95116789369048,3.08927876718556,2.74041781548307,2.30861812620269,2.10279164511884,3.33959128715694,3.30050162188094,3.10104737576394,3.07944037841603,2.08197467717852
"8",3.01699534807488,2.94484772315143,2.89703920666603,2.53986260120695,3.18159171328127,3.00698003196911,2.85459873831219,2.91439671460814,3.31131625678322,2.94705641070881,2.90721440720148,2.9307031400737,2.92568895438647,3.2267540766737,2.20689144139287,3.22403178262749,2.86748274995497,3.06106531530537,2.90290399416737,3.02733843186373
"9",3.15971613789699,3.59345441405329,3.9465659227607,4.22645136524093,3.55993547692059,2.88547258950888,3.28396653071198,4.45668577034717,3.77737284670387,3.84645449467185,4.8635763196248,3.83760355478326,3.3989103671999,2.89923010564606,2.8416639516315,3.96009317133508,3.99897952559632,3.57459227483888,3.62285884871221,2.9053868772373
"10",3.80325587872296,3.73294619472256,3.77430723413712,3.42253745616385,4.27956806402422,3.75183185373624,3.30726150348424,3.56518534295163,3.97206641773774,3.81203209522822,3.73739081050093,3.44912865728962,3.61763065465183,3.95027791130989,2.81520489675812,3.96888326191492,3.6769363086966,3.82937810716275,3.89058995775365,3.89277211759342
