"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",-0.0324281515167064,-0.039490456140653,-0.0532054165714039,-0.0373337133142802,-0.0551769599454925,-0.00476543785565676,-0.0145613777290553,0.0287370932839963,0.008505414901431,0.0668658175858399,-0.036363252491721,-0.101243097630483,0.013514000133707,-0.0409590567239517,0.111074088715318,0.0196529378125166,-0.0571579011577847,0.0560325589853432,-0.0827020743285163,-0.0551689126219317
"2",-0.0393020210684895,-0.00795973807308591,0.0390206212276082,-0.0413663557186639,0.0433304844374976,-0.0840254921548309,0.0425783536609861,-0.00514191191194612,-0.0339970495966299,0.0422787630606379,-0.00906114340866282,0.00681269247996027,-0.00855707362260318,0.0747139051785168,0.069896627684981,0.00320494741743841,0.0297854564263146,-0.0157805900920683,0.0118412167292016,-0.0204484277295741
"3",0.683036935015169,0.328333128015936,0.848874406906406,0.538450631044847,0.986474283974419,0.449837189496115,1.13471822356807,0.867667341049808,0.701773721344839,1.05473827430256,0.474481573420756,1.16721601094041,0.412960109455435,0.936740281169753,0.804664426733093,0.408455976712234,1.00550267814582,0.826027454693265,0.698976653869365,0.838968832674975
"4",1.18131311672749,0.98946101382529,2.01657603255813,1.2948684044269,2.31011768309601,1.45914677660245,1.72813099027124,2.11753567552314,1.84526792550006,1.49629557228828,2.25200651534772,1.55154210088232,0.850601321009366,1.59615129264468,1.69358510339846,0.834589397314105,1.79009531003874,1.45386684623161,1.64071325491026,1.42821764834244
"5",1.82134459203408,1.51312798685021,3.44377927945534,1.69735657578925,3.35134905536585,2.16908277497553,2.05894442287658,2.70536593660613,2.35253710003937,2.3684865775173,3.04038657281601,1.96905701682741,1.66304675229147,2.0784197271436,2.22783545631905,1.51186130967703,2.53821416006287,2.56699864372891,3.12129202544188,2.32670432487984
"6",2.3276857317728,2.29454416850849,3.95470838440106,2.05909314514539,3.94490455784895,2.81712864799933,2.7772916935926,2.86400434959224,2.52478019928432,3.09904278204159,3.58784267344061,2.35928483078767,2.2478639462166,2.40999521986662,2.445868771699,2.19706971680686,3.07775245012416,3.24463622040746,3.84261217742148,3.06543408862163
"7",3.11451752540111,3.12844180429959,4.16501382561579,2.57283749009904,4.18380916963127,3.49422204594897,3.3420024912742,3.10568672352454,3.13712675653592,3.56361832139446,4.31116559749473,3.06493523428935,2.88025666758751,2.8193596206177,2.48311089971434,2.71494428449158,3.4583050121413,3.67929134846019,4.46145485118368,3.37774228465922
"8",3.4575363182316,3.65099779534469,4.31370449310914,2.85717171785483,4.70991204662948,3.94297764745185,3.66829639347183,3.35510392880584,3.63196303433709,4.05001974199499,4.77961185775164,3.70993569966276,3.44983864264931,3.16782875668471,2.92216751200928,2.99871846943921,3.79195356485528,4.03342961275314,4.84461213618504,3.87296935711897
"9",4.03540937333215,4.21269936745914,4.51537753873437,3.1018666305081,5.2199832106367,4.17980929808191,3.9507416770078,3.49825273990041,4.25424974233687,4.37598114909794,5.25294045161861,3.97088149567907,3.83716082325439,3.73229329660639,2.97397499892371,3.22976211860199,4.10214729428492,4.44185211007217,5.16594189636012,4.1190354004264
"10",4.40274191596811,4.74285743394748,4.96635522995033,3.60334684185211,5.52973574095922,4.57202153885652,4.51022719699855,3.68444314637753,4.75459438820426,4.7224144562587,5.58587067974962,4.45212395616491,4.17033438036434,4.17135513121666,3.0210530218351,3.39946078811,4.61797461561984,4.82746308003507,5.61519391880904,4.44382166803179
