"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"27",0.769204155342024,0.00517179531346595,"./pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"2yr",6,"nDH96","Ne60","varE1"
"28",0.729921788609014,0.00674146430919909,"./pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"2yr",7,"nDH96","Ne60","varE1"
"29",0.989696184925688,0.00381729866318714,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",1,"nDH96","Ne60","varE1"
"30",0.995096856255757,0.00376667685848208,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",2,"nDH96","Ne60","varE1"
"31",0.887651844673072,0.00349227004421429,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",3,"nDH96","Ne60","varE1"
"32",0.846036829037868,0.00398187979385588,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",4,"nDH96","Ne60","varE1"
"33",0.809845231453335,0.0043573061883597,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",5,"nDH96","Ne60","varE1"
"34",0.786185131153413,0.00416187239945873,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",6,"nDH96","Ne60","varE1"
"35",0.760754372275573,0.00420540882856445,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",7,"nDH96","Ne60","varE1"
"36",0.994129824542832,0.00399226361606489,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",1,"nDH96","Ne60","varE1"
