"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0.0149292666391806,0.0331137148065995,-0.0491886879828519,-0.0576295074073599,0.0239733224180209,-0.000258559519330014,-0.054206161747348,0.0602731675205294,0.0280055529006506,-0.0362038026273487,0.00801051682655148,-0.00716543695228467,0.0707350984482407,-0.0182153444838637,-0.0111312303984669,0.0411122769921234,0.0209650589714414,-0.023480941414223,-0.0487869100820633,0.0229155482016982
"2",0.0657525025440756,-0.0547074358892076,0.0650088122797822,-0.0161429287971941,0.00847396991566541,0.0465155315766935,0.0246116132413106,-0.0586796849030802,0.0618803691319735,-0.0568013990516839,-0.021746525640931,-0.000467013462679162,0.0622423650757902,-0.0351227293668794,-0.00290299187417686,-0.0348048137916489,0.0498851031881009,-0.0126850474894974,0.0815219566518693,0.0236298616952635
"3",1.56091612104609,1.39253061052534,1.34050087494191,1.27298399680875,1.40963622792075,1.15988140166846,1.4961896106285,1.63646469764809,1.4111336506478,1.42249897109005,1.55574407218821,1.44215517204763,1.44128846916635,1.40331816247146,1.37893672671749,1.68881113120576,1.77821143315016,1.45818215384281,1.88188308754542,1.90779517515503
"4",1.48271229971178,1.47629227508347,1.82452673112111,1.60627564976302,1.70464025865386,1.55216169156287,1.44187862860098,1.43108981854417,1.23607546829058,1.5602393706605,1.41725479069161,1.18347360841969,1.65158878775591,1.38727359268708,1.20645800106145,1.6341646067946,2.11490229304893,1.62417323803857,1.53308334650687,1.5050586173444
"5",2.52914132752157,2.668938027977,2.6098109469732,2.9265635779992,2.77790499543872,2.43598866053574,2.70984931511994,3.02197537867323,2.53054403352052,2.51160666588522,2.93228131791707,2.57857113240386,2.90896801754109,2.86200025666564,2.446241585336,2.69925979004492,3.44632175559501,2.52701598881581,3.06213703904616,3.18285198966759
"6",2.245987019834,2.68207025076716,3.10716497733346,2.91900079934444,3.12694644701821,2.70194189400311,2.62549304284699,2.95819451083029,2.67419611132116,2.67595202230287,2.58446042975877,2.04793934989779,2.96478306909982,2.5686697900747,2.22252339772501,2.75621252421177,3.22041114080298,2.87157504093785,2.86222700697882,2.53774881636754
"7",3.57865007616952,3.99679750443136,3.54159475919938,3.86883666464316,3.94929132807186,3.7013419817683,3.98902698271355,4.16132700033519,3.62552176973739,3.20306230364148,4.13529719780114,3.52157711138918,4.3074858350826,3.91280358136009,3.67079644823403,4.09720977909974,4.50827593447564,3.45273441339656,4.13606410176471,3.94077796525723
"8",3.15646074781044,3.68740316137478,4.298717630359,3.86243923849243,4.42855683424813,4.0893759911093,3.92186613141524,3.99521816632425,3.63948997365167,4.06968892098103,4.13375581746638,3.10735764820164,4.12192166522474,3.54100753320566,3.40941876260192,4.29678659157201,4.39861391610018,3.93840821246501,3.91457202950773,3.54385523189033
"9",4.41237166468036,5.02091571712907,4.63945931235801,4.56434539343457,4.92016747384559,4.95240060907619,4.89500224133193,5.27804192200198,4.85570553110291,4.25023202550751,5.20627569272363,4.51760157031287,5.17828731215338,4.73413737401268,4.75485205431816,5.43009777334159,5.37472813313524,4.48186628557863,5.12595301169072,5.30345964342741
"10",4.41754592858533,4.68677508971554,5.23445095629452,4.82048577506053,5.23851231779803,5.54202283758026,5.18572761406815,5.17463062445707,4.60478550324209,4.65597513985888,5.50394972537064,4.32857586949123,5.3085314423854,4.80191556258276,4.67891755718794,5.65366947357825,5.18223208301044,5.06830561639925,4.91988468400443,4.54796706550098
