,Mean,SD,Selection,Shorten,SelectSP,TestSP,Year,Cycles,nDH,Ne,varE
29,0.002515458,0.024261972,./rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,1yr,1,nDH96,Ne60,varE1.22
30,0.003091328,0.023229826,./rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,1yr,2,nDH96,Ne60,varE1.22
31,1.027359166,0.125500963,./rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,1yr,3,nDH96,Ne60,varE1.22
32,1.979610019,0.224871962,./rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,1yr,4,nDH96,Ne60,varE1.22
33,2.856283179,0.299203651,./rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,1yr,5,nDH96,Ne60,varE1.22
34,3.713555617,0.331689902,./rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,1yr,6,nDH96,Ne60,varE1.22
35,4.531951064,0.351681647,./rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,1yr,7,nDH96,Ne60,varE1.22
36,0.003151294,0.024346121,./rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,2yr,1,nDH96,Ne60,varE1.22
37,-0.000820342,0.02288507,./rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,2yr,2,nDH96,Ne60,varE1.22
38,1.019925748,0.123407922,./rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,2yr,3,nDH96,Ne60,varE1.22
39,1.083511275,0.127678349,./rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,2yr,4,nDH96,Ne60,varE1.22
