,Mean_g,Sd_g,,
1,-0.001263647,0.71907515,,0.005862616
2,-0.012295055,0.696753546,,-0.019163637
3,0.447303142,0.656230057,,0.507922987
4,0.961635819,0.614492741,,0.555546531
5,1.430997414,0.603605363,,1.021309024
