,VarE4 Ne60,Sd_GP,VarE1 Ne600,Sd_GP,VarE1_Ne60,Sd_GP,,Mean_GP_varE1_Ne60_nDH96,Sd_GP
1,0.009558745,0.984896497,-0.009743467,0.988913083,-0.004617648,0.991433562,,-0.005574158,0.98598689
2,0.002062329,1.002473993,0.005000499,0.995895146,0.004393483,0.987172188,,-0.017277312,0.992698663
3,0.328954974,0.956174456,0.421840284,0.95252172,0.536183118,0.941053827,,0.991069266,0.891492538
4,0.406069104,0.954511945,0.479219882,0.950296223,0.567463791,0.929043728,,1.036989016,0.890781872
5,0.769722279,0.93220794,0.860414373,0.915546179,1.083626786,0.900750267,,1.911985658,0.81936166
6,0.823382924,0.926385203,0.928577387,0.919390896,1.101288282,0.895969716,,1.981465889,0.822401778
7,1.196244613,0.905691881,1.272525984,0.900224525,1.604932868,0.877351782,,2.784500569,0.76915162
