"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"2",0.580979607747149,0.00797944978560426,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
"3",0.589394582470786,0.00964260424071025,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",3,"nDH24","Ne=60","heritability: 0.5"
"4",0.612101185607998,0.0085375284229257,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",4,"nDH24","Ne=60","heritability: 0.5"
"5",0.617922165107829,0.0094916604815891,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",5,"nDH24","Ne=60","heritability: 0.5"
"6",0.615836256481814,0.00903196092502509,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",6,"nDH24","Ne=60","heritability: 0.5"
"7",0.627663293676229,0.00886499538746313,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",7,"nDH24","Ne=60","heritability: 0.5"
"8",0.63503310935996,0.00833095060085082,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",8,"nDH24","Ne=60","heritability: 0.5"
"10",0.61346039901009,0.00612137656971178,"./pheno_1000_2yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"2yr",2,"nDH24","Ne=60","heritability: 0.5"
"12",0.620369548656552,0.00819655205644586,"./pheno_1000_2yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"2yr",4,"nDH24","Ne=60","heritability: 0.5"
"14",0.643487434061227,0.00558000055179933,"./pheno_1000_2yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"2yr",6,"nDH24","Ne=60","heritability: 0.5"
"16",0.668515499315205,0.00703248273647657,"./pheno_1000_2yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",1000,"2yr",8,"nDH24","Ne=60","heritability: 0.5"
"18",0.490610120083533,0.0146872453523484,"./pheno_400_1yr_nDH24_varE1_Ne60_GPcor_Reps.csv","pheno_400_1yr_nDH24_varE1_Ne60_GPcor_Reps","pheno",400,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
