"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"36",0.792223083179491,0.0131391212434739,"./pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"38",0.758038617589841,0.0173668105535682,"./pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"40",0.691434792172641,0.0172565362367494,"./pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"2yr",10,"nDH96","Ne=60","heritability: 0.5"
"42",0.996519711580638,0.0076053993073394,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"43",0.909005884918908,0.0109759423596399,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"44",0.843985920980908,0.0080136094863237,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"45",0.812161870170221,0.0087012320816136,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"46",0.795892404241761,0.0125467780494488,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"47",0.759896985488552,0.0104268220705693,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"48",0.727012821599172,0.0104431856545303,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"49",0.691616897386245,0.0112556494713046,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",9,"nDH96","Ne=60","heritability: 0.5"
"50",0.679043756571859,0.011608567905784,"./rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"1yr",10,"nDH96","Ne=60","heritability: 0.5"
"52",0.983593612668943,0.00562104312636292,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
"54",0.896032454544362,0.0110444414899727,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
"56",0.855625640931728,0.00992383728631551,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"58",0.801784040860485,0.0155963134258916,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"60",0.788351666468086,0.0129589292700993,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",10,"nDH96","Ne=60","heritability: 0.5"
"62",1.01834216980602,0.0192326240838048,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
