"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"2",0.91692081741481,0.00732256955178217,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
"3",0.872379907405498,0.00753345682617708,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",3,"nDH24","Ne=60","heritability: 0.5"
"4",0.844503782279259,0.00756721911871003,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",4,"nDH24","Ne=60","heritability: 0.5"
"5",0.835442860653151,0.00831326357909727,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",5,"nDH24","Ne=60","heritability: 0.5"
"6",0.79776423377136,0.00809903034187114,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",6,"nDH24","Ne=60","heritability: 0.5"
"7",0.783906775154227,0.00777757136475776,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",7,"nDH24","Ne=60","heritability: 0.5"
"8",0.761055350095963,0.00913448497147198,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",8,"nDH24","Ne=60","heritability: 0.5"
"9",0.737034710782781,0.010273532342653,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",9,"nDH24","Ne=60","heritability: 0.5"
"10",0.712045417189895,0.012079961259029,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",10,"nDH24","Ne=60","heritability: 0.5"
"12",0.928867590005512,0.00776032328478838,"./pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"2yr",2,"nDH24","Ne=60","heritability: 0.5"
