"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"2",0.939228042450281,0.00123512572498374,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
"3",0.939346253490858,0.00133853281994154,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",3,"nDH24","Ne=60","heritability: 0.5"
"4",0.939475242826431,0.00116518066505197,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",4,"nDH24","Ne=60","heritability: 0.5"
"5",0.939428903270947,0.00168651779171541,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",5,"nDH24","Ne=60","heritability: 0.5"
"6",0.937773262463944,0.00156146304875386,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",6,"nDH24","Ne=60","heritability: 0.5"
"7",0.938675596240846,0.00161485475886074,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",7,"nDH24","Ne=60","heritability: 0.5"
"8",0.936721183684266,0.00152903879472118,"./pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",8,"nDH24","Ne=60","heritability: 0.5"
"10",0.936018111860033,0.00161214466355813,"./pheno_1000_2yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"2yr",2,"nDH24","Ne=60","heritability: 0.5"
"12",0.937790493452339,0.00113140460941728,"./pheno_1000_2yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"2yr",4,"nDH24","Ne=60","heritability: 0.5"
"14",0.937430403790639,0.00251375850487982,"./pheno_1000_2yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"2yr",6,"nDH24","Ne=60","heritability: 0.5"
"16",0.940244231627604,0.0015383800703757,"./pheno_1000_2yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",1000,"2yr",8,"nDH24","Ne=60","heritability: 0.5"
"18",0.942527936859779,0.00249314242375153,"./pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
"19",0.939391375046123,0.00181520829815091,"./pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",3,"nDH24","Ne=60","heritability: 0.5"
"20",0.939488753164915,0.00240209990697379,"./pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",4,"nDH24","Ne=60","heritability: 0.5"
"21",0.937797636226272,0.00287277132970099,"./pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",5,"nDH24","Ne=60","heritability: 0.5"
"22",0.936885976836274,0.00297231796223352,"./pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",6,"nDH24","Ne=60","heritability: 0.5"
"23",0.936814021716869,0.00323528667649034,"./pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",7,"nDH24","Ne=60","heritability: 0.5"
"24",0.938706295401738,0.00289596579082774,"./pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",8,"nDH24","Ne=60","heritability: 0.5"
"26",0.935110333912901,0.0034411122451323,"./pheno_400_2yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_2yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"2yr",2,"nDH24","Ne=60","heritability: 0.5"
"28",0.938694857904687,0.00266994477811398,"./pheno_400_2yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_2yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"2yr",4,"nDH24","Ne=60","heritability: 0.5"
"30",0.938749883986381,0.00297792921279546,"./pheno_400_2yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_2yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"2yr",6,"nDH24","Ne=60","heritability: 0.5"
"32",0.935820898300909,0.00257324698692321,"./pheno_400_2yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","pheno_400_2yr_nDH24_varE1_Ne60_GPselInt_Reps","pheno",400,"2yr",8,"nDH24","Ne=60","heritability: 0.5"
"34",0.937941465251153,0.00105977619554184,"./rand_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps.csv","rand_1000_1yr_nDH24_varE1_Ne60_GPselInt_Reps","rand",1000,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
