"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"36",1.75887024771742,0.00736255920735665,"./rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"37",1.75781976425269,0.00918959590407169,"./rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"38",1.74744828409302,0.00553676465767893,"./rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"39",1.73786329171277,0.00472728552218064,"./rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"40",1.76149960525421,0.00877816373846134,"./rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"42",1.72521310740763,0.011805156806926,"./rand_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
"44",1.78379156764273,0.0134200109072192,"./rand_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
"46",1.73852252300874,0.00447843141743754,"./rand_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"48",1.75058464371491,0.00422878054079596,"./rand_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"50",1.73336979118513,0.0204505358801738,"./rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"51",1.75040195402589,0.0125743512886205,"./rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"52",1.74398410068391,0.0164779356068467,"./rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"53",1.72557291895525,0.0118241351216857,"./rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"54",1.76044995913766,0.0188383130257595,"./rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"55",1.7581023773655,0.0138042553702046,"./rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"56",1.74353042675051,0.0108242371542143,"./rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"58",1.73669078829301,0.0170748071906033,"./rand_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
"60",1.72965723190785,0.0137973604294121,"./rand_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
