"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"2",0.701165833432549,0.0153841786288733,"./pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"3",2.13642502638531,0.0356630801294245,"./pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"4",3.42847894703287,0.0475185213826887,"./pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"5",4.60484067598879,0.0529591221890614,"./pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"6",5.71203061192117,0.0592448142361354,"./pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"7",6.79491489123591,0.0794240693208244,"./pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"8",7.8220015064579,0.0903509410333125,"./pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"9",8.79709103412393,0.0934560209399785,"./pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"1yr",9,"nDH96","Ne=60","heritability: 0.5"
"10",9.70728432910141,0.105523211698636,"./pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"1yr",10,"nDH96","Ne=60","heritability: 0.5"
"12",0.700243519434483,0.0137203591799121,"./pheno_1000_2yr_nDH96_varE1_Ne60_Mean_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Mean_GP","pheno",1000,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
