"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"36",0.616621960108373,0.0083151003795727,"./rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"37",0.635728619471595,0.00729957498929728,"./rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",1000,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"38",0.636269086398436,0.00872397923026763,"./rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",1000,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"39",0.637518290071564,0.00922996163783238,"./rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",1000,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"40",0.636406517246296,0.00800097610459131,"./rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",1000,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"42",0.666905809738392,0.00753808417173542,"./rand_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps","rand",1000,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
"44",0.637554886564014,0.00975653281452987,"./rand_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps","rand",1000,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
"46",0.652173687270869,0.00969891155619413,"./rand_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps","rand",1000,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"48",0.645849173648351,0.00605466649194246,"./rand_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps","rand",1000,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"50",0.565472898818744,0.0191037156753709,"./rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"51",0.584584897529913,0.0128804971847721,"./rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"52",0.59544842397703,0.0156650353141847,"./rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"53",0.60515783745776,0.0124865036844235,"./rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"54",0.576791620980692,0.011634757082586,"./rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"55",0.599193810682967,0.0145380750314126,"./rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"56",0.603815450113659,0.0107923022240226,"./rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"58",0.575916851265374,0.0117086803606826,"./rand_400_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_2yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
