"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"36",2.60218314592479,0.0799513658180113,"./pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"2yr",6,"nDH24","Ne=60","heritability: 0.5"
"38",3.43932021822264,0.0847981207304485,"./pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"2yr",8,"nDH24","Ne=60","heritability: 0.5"
"40",4.2026649194183,0.0833230418549745,"./pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"2yr",10,"nDH24","Ne=60","heritability: 0.5"
"42",0.00168022293469654,0.0102499647907335,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
"43",0.59980474177565,0.0232257979276822,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",3,"nDH24","Ne=60","heritability: 0.5"
"44",1.1332547229046,0.034147545324255,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",4,"nDH24","Ne=60","heritability: 0.5"
"45",1.68899564002495,0.0407165237737688,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",5,"nDH24","Ne=60","heritability: 0.5"
"46",2.25191960044377,0.0473922734585829,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",6,"nDH24","Ne=60","heritability: 0.5"
"47",2.80744693729004,0.0519546262700677,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",7,"nDH24","Ne=60","heritability: 0.5"
"48",3.35166569840346,0.0599312950396676,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",8,"nDH24","Ne=60","heritability: 0.5"
"49",3.87839871591876,0.0598636980759416,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",9,"nDH24","Ne=60","heritability: 0.5"
"50",4.38319379419934,0.0626121584218296,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",10,"nDH24","Ne=60","heritability: 0.5"
"52",0.0213143651135398,0.0125084811610162,"./rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"2yr",2,"nDH24","Ne=60","heritability: 0.5"
"54",0.62350007700291,0.0250797368479655,"./rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"2yr",4,"nDH24","Ne=60","heritability: 0.5"
"56",1.19911402195122,0.0285074657262243,"./rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"2yr",6,"nDH24","Ne=60","heritability: 0.5"
"58",1.76401375027882,0.0368237866687992,"./rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"2yr",8,"nDH24","Ne=60","heritability: 0.5"
"60",2.30636987429803,0.0380284270205221,"./rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"2yr",10,"nDH24","Ne=60","heritability: 0.5"
"62",0.0213045790758657,0.0325228018936716,"./rand_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
"63",0.53122998949237,0.0393004534931973,"./rand_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"1yr",3,"nDH24","Ne=60","heritability: 0.5"
"64",1.0410180141095,0.0392887901069434,"./rand_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"1yr",4,"nDH24","Ne=60","heritability: 0.5"
"65",1.52675174292808,0.0491491083037431,"./rand_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"1yr",5,"nDH24","Ne=60","heritability: 0.5"
"66",1.97272050307899,0.0505828577386906,"./rand_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"1yr",6,"nDH24","Ne=60","heritability: 0.5"
"67",2.43723277064771,0.0508289973911295,"./rand_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"1yr",7,"nDH24","Ne=60","heritability: 0.5"
"68",2.89810579095696,0.0583373146495703,"./rand_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"1yr",8,"nDH24","Ne=60","heritability: 0.5"
"69",3.36483211169047,0.0687929935724027,"./rand_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"1yr",9,"nDH24","Ne=60","heritability: 0.5"
"70",3.79605051328132,0.0733546259361742,"./rand_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"1yr",10,"nDH24","Ne=60","heritability: 0.5"
"72",-0.00821634310340837,0.0283875048345914,"./rand_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"2yr",2,"nDH24","Ne=60","heritability: 0.5"
"74",0.578416179805261,0.0361236215455617,"./rand_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"2yr",4,"nDH24","Ne=60","heritability: 0.5"
"76",1.08310961902796,0.0358574059872244,"./rand_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"2yr",6,"nDH24","Ne=60","heritability: 0.5"
"78",1.61466985950576,0.0361614513325251,"./rand_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"2yr",8,"nDH24","Ne=60","heritability: 0.5"
"80",2.10137887524069,0.0449422647879695,"./rand_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"2yr",10,"nDH24","Ne=60","heritability: 0.5"
"82",0.708881913138485,0.0175531120294543,"./pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"1yr",2,"nDH24","Ne=600","heritability: 0.5"
"83",1.62049469751736,0.02426270038122,"./pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"1yr",3,"nDH24","Ne=600","heritability: 0.5"
"84",2.42036832215433,0.038862137951651,"./pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"1yr",4,"nDH24","Ne=600","heritability: 0.5"
"85",3.19392716331664,0.0463142699685514,"./pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"1yr",5,"nDH24","Ne=600","heritability: 0.5"
"86",3.94690401209605,0.0475175732012809,"./pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"1yr",6,"nDH24","Ne=600","heritability: 0.5"
"87",4.69834311803901,0.0522340640091136,"./pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"1yr",7,"nDH24","Ne=600","heritability: 0.5"
"88",5.45676841504536,0.0639111122028394,"./pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"1yr",8,"nDH24","Ne=600","heritability: 0.5"
"89",6.19292541726919,0.0746085848537791,"./pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"1yr",9,"nDH24","Ne=600","heritability: 0.5"
"90",6.92895800849031,0.0859537047716951,"./pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"1yr",10,"nDH24","Ne=600","heritability: 0.5"
"92",0.730500595241187,0.0107717329594154,"./pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"2yr",2,"nDH24","Ne=600","heritability: 0.5"
"94",1.62929139215301,0.0309483175441813,"./pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"2yr",4,"nDH24","Ne=600","heritability: 0.5"
"96",2.46509159671058,0.045711458840697,"./pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"2yr",6,"nDH24","Ne=600","heritability: 0.5"
"98",3.26294721716415,0.0468383134555914,"./pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"2yr",8,"nDH24","Ne=600","heritability: 0.5"
"100",4.07564554634918,0.0544644725997729,"./pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",1000,"2yr",10,"nDH24","Ne=600","heritability: 0.5"
"102",0.712097975155081,0.0234881783612811,"./pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"1yr",2,"nDH24","Ne=600","heritability: 0.5"
"103",1.58586645875395,0.0468946451097361,"./pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"1yr",3,"nDH24","Ne=600","heritability: 0.5"
"104",2.39041947219033,0.0586421725900886,"./pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"1yr",4,"nDH24","Ne=600","heritability: 0.5"
"105",3.17608711229602,0.0686625619696104,"./pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"1yr",5,"nDH24","Ne=600","heritability: 0.5"
"106",3.92237128747822,0.0676467648453286,"./pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"1yr",6,"nDH24","Ne=600","heritability: 0.5"
"107",4.62476905830211,0.0751813326511049,"./pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"1yr",7,"nDH24","Ne=600","heritability: 0.5"
"108",5.30758932865428,0.0787713537530997,"./pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"1yr",8,"nDH24","Ne=600","heritability: 0.5"
"109",5.90379340480301,0.0838883357410215,"./pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"1yr",9,"nDH24","Ne=600","heritability: 0.5"
"110",6.54474817030011,0.0861328291363355,"./pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"1yr",10,"nDH24","Ne=600","heritability: 0.5"
"112",0.685030595158878,0.0274746303413441,"./pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"2yr",2,"nDH24","Ne=600","heritability: 0.5"
"114",1.54188410165456,0.0585678673510953,"./pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"2yr",4,"nDH24","Ne=600","heritability: 0.5"
"116",2.29960038754841,0.0644086069259424,"./pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"2yr",6,"nDH24","Ne=600","heritability: 0.5"
"118",3.04285866129085,0.0831838692455831,"./pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"2yr",8,"nDH24","Ne=600","heritability: 0.5"
"120",3.85177224558094,0.0845328633628719,"./pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP","pheno",400,"2yr",10,"nDH24","Ne=600","heritability: 0.5"
"122",-0.000522837761485224,0.0140734244082663,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",2,"nDH24","Ne=600","heritability: 0.5"
"123",0.42977580325265,0.0200243212042157,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",3,"nDH24","Ne=600","heritability: 0.5"
"124",0.798657799857157,0.0293502779752902,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",4,"nDH24","Ne=600","heritability: 0.5"
"125",1.19089840379443,0.0326762399868673,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",5,"nDH24","Ne=600","heritability: 0.5"
"126",1.5583634402075,0.0454579678803868,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",6,"nDH24","Ne=600","heritability: 0.5"
"127",1.93321266144211,0.0537292715995689,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",7,"nDH24","Ne=600","heritability: 0.5"
"128",2.36652406832256,0.0646628624389299,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",8,"nDH24","Ne=600","heritability: 0.5"
"129",2.7981228710248,0.0672435587922312,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",9,"nDH24","Ne=600","heritability: 0.5"
"130",3.21885387862503,0.0701007348221582,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",10,"nDH24","Ne=600","heritability: 0.5"
"132",0.00219833885575452,0.0196612877600174,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",2,"nDH24","Ne=600","heritability: 0.5"
"134",0.456114533825447,0.0185543811860482,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",4,"nDH24","Ne=600","heritability: 0.5"
"136",0.828316823219629,0.0318416354223184,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",6,"nDH24","Ne=600","heritability: 0.5"
"138",1.19577743738209,0.0388919875588498,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",8,"nDH24","Ne=600","heritability: 0.5"
"140",1.55747419381859,0.0450526289173648,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",10,"nDH24","Ne=600","heritability: 0.5"
