,Mean_g,Sd_g,,Mean_g,Sd_g
1,0.02480854,0.685594242,,0.026531846,0.683975691
2,-0.065660507,0.730737196,,0.021247447,0.726020456
3,0.507853238,0.634926438,,0.692033159,0.607105786
4,0.486718106,0.632004908,,1.137629775,0.656709598
5,1.018233629,0.564467983,,1.768298434,0.583247949
