"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"27",0.836873092846732,0.00494935105490367,"./pheno_400_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_400_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",400,"2yr",6,"nDH24","Ne60","varE1"
"28",0.791415155163602,0.00561058423935875,"./pheno_400_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_400_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",400,"2yr",7,"nDH24","Ne60","varE1"
"29",0.996010429704044,0.00371120048337321,"./rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"1yr",1,"nDH24","Ne60","varE1"
"30",0.995170176744074,0.00356415936302581,"./rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"1yr",2,"nDH24","Ne60","varE1"
"31",0.920668678248106,0.00396713513683871,"./rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"1yr",3,"nDH24","Ne60","varE1"
"32",0.898972517433945,0.00392502106939701,"./rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"1yr",4,"nDH24","Ne60","varE1"
"33",0.885805733086777,0.00371656076278445,"./rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"1yr",5,"nDH24","Ne60","varE1"
"34",0.868096590961652,0.00397209902534688,"./rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"1yr",6,"nDH24","Ne60","varE1"
"35",0.862275038827867,0.00407811951514219,"./rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"1yr",7,"nDH24","Ne60","varE1"
"36",0.99804344900854,0.00423560000535673,"./rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"2yr",1,"nDH24","Ne60","varE1"
"37",1.00265360620157,0.00418122841187433,"./rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"2yr",2,"nDH24","Ne60","varE1"
"38",0.93435868984442,0.00456996814482817,"./rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"2yr",3,"nDH24","Ne60","varE1"
