"","Mean","Sd","SelectSP","NumPlots","Year","nGP","varE","Ne"
"pheno_400_1yr_nDH96_varE1_Ne600_Mean_GP",5.47041244213775,0.619717709120808,"pheno","400","1yr","nDH96","varE1","Ne600"
"pheno_400_2yr_nDH96_varE1_Ne600_Mean_GP",3.75778741977177,0.724373669331196,"pheno","400","2yr","nDH96","varE1","Ne600"
"rand_1000_1yr_nDH96_varE1_Ne600_Mean_GP",4.03082998723734,0.782250695586153,"rand","1000","1yr","nDH96","varE1","Ne600"
"rand_1000_2yr_nDH96_varE1_Ne600_Mean_GP",2.53704289525586,0.845725461449523,"rand","1000","2yr","nDH96","varE1","Ne600"
"rand_400_1yr_nDH96_varE1_Ne600_Mean_GP",3.64795297917913,0.683926852163297,"rand","400","1yr","nDH96","varE1","Ne600"
"rand_400_2yr_nDH96_varE1_Ne600_Mean_GP",2.29389268940746,0.763634515610116,"rand","400","2yr","nDH96","varE1","Ne600"
"pheno_1000_1yr_nDH96_varE4_Ne60_Mean_GP",5.25389584330463,0.733932501139171,"pheno","1000","1yr","nDH96","varE4","Ne60"
"pheno_1000_2yr_nDH96_varE4_Ne60_Mean_GP",3.58570123827918,0.803595045883989,"pheno","1000","2yr","nDH96","varE4","Ne60"
"pheno_400_1yr_nDH96_varE4_Ne60_Mean_GP",4.35992877463236,0.641262245164398,"pheno","400","1yr","nDH96","varE4","Ne60"
"pheno_400_2yr_nDH96_varE4_Ne60_Mean_GP",3.07294660041819,0.763171795175383,"pheno","400","2yr","nDH96","varE4","Ne60"
"rand_1000_1yr_nDH96_varE4_Ne60_Mean_GP",3.98840111971236,0.768677311889871,"rand","1000","1yr","nDH96","varE4","Ne60"
"rand_1000_2yr_nDH96_varE4_Ne60_Mean_GP",2.57496877413992,0.840710857594956,"rand","1000","2yr","nDH96","varE4","Ne60"
"rand_400_1yr_nDH96_varE4_Ne60_Mean_GP",3.2929233776253,0.663497414359405,"rand","400","1yr","nDH96","varE4","Ne60"
"rand_400_2yr_nDH96_varE4_Ne60_Mean_GP",2.0890477062507,0.76801211918636,"rand","400","2yr","nDH96","varE4","Ne60"
"pheno_1000_1yr_nDH96_varE4_Ne600_Mean_GP",4.57146493110941,0.720026523338554,"pheno","1000","1yr","nDH96","varE4","Ne600"
"pheno_1000_2yr_nDH96_varE4_Ne600_Mean_GP",3.04643942175873,0.80574930781548,"pheno","1000","2yr","nDH96","varE4","Ne600"
"pheno_400_1yr_nDH96_varE4_Ne600_Mean_GP",3.89383028526582,0.590567878647964,"pheno","400","1yr","nDH96","varE4","Ne600"
"pheno_400_2yr_nDH96_varE4_Ne600_Mean_GP",2.69641206547423,0.733532625986491,"pheno","400","2yr","nDH96","varE4","Ne600"
"rand_1000_1yr_nDH96_varE4_Ne600_Mean_GP",3.21929685950348,0.777415537042074,"rand","1000","1yr","nDH96","varE4","Ne600"
"rand_1000_2yr_nDH96_varE4_Ne600_Mean_GP",1.99280930562151,0.850628663995253,"rand","1000","2yr","nDH96","varE4","Ne600"
"rand_400_1yr_nDH96_varE4_Ne600_Mean_GP",2.70494642670962,0.643918419232713,"rand","400","1yr","nDH96","varE4","Ne600"
"rand_400_2yr_nDH96_varE4_Ne600_Mean_GP",1.76678417956619,0.764667142034113,"rand","400","2yr","nDH96","varE4","Ne600"
