"","X","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"55",55,1.12834545566852,0.0208564711759276,"./rand_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"2yr",6,"nDH24","Ne60","varE1"
"56",56,1.63127037946682,0.0263627269010607,"./rand_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne60_Mean_GP","rand",400,"2yr",7,"nDH24","Ne60","varE1"
"85",85,-0.000131849092887519,0.00735380483352063,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",1,"nDH24","Ne600","varE1"
"86",86,-0.00319285634709965,0.00701813446748778,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",2,"nDH24","Ne600","varE1"
"87",87,0.4663125477507,0.0117517007223522,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",3,"nDH24","Ne600","varE1"
"88",88,0.905602308200243,0.013463299423655,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",4,"nDH24","Ne600","varE1"
"89",89,1.34305959973543,0.0152203295381006,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",5,"nDH24","Ne600","varE1"
"90",90,1.793240943363,0.0185877785906872,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",6,"nDH24","Ne600","varE1"
"91",91,2.2400948998553,0.0209529786310299,"./rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"1yr",7,"nDH24","Ne600","varE1"
"92",92,0.000841428053126972,0.00745538194872232,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",1,"nDH24","Ne600","varE1"
"93",93,-0.00502528091595973,0.00713675409707353,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",2,"nDH24","Ne600","varE1"
"94",94,0.467234535364454,0.0133639558725554,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",3,"nDH24","Ne600","varE1"
"95",95,0.477498561139248,0.00999724227518758,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",4,"nDH24","Ne600","varE1"
